source,method,city,scenario,episode,n_agents,total_steps,tasks_appeared,tasks_completed,throughput_rate,accept_rate,latency_mean,latency_per_agent,agent_utilisation,mean_congestion,mean_trip_steps,mean_wait_steps,mean_road_pd_m,delivery_route_efficiency,mean_extra_steps_per_task,peak_load,congestion_variance,mean_bpr_along_route,n_traversals_in_jam,route_congestion_exposure,total_fleet_distance_m,agent_completed_gini,agent_completed_std,n_ghost_active_mean,mean_congestion_at_decision,wallclock_ms,compute_time_per_task_ms,compute_time_per_decision_us,capacity_violations,pairing_violations
TP,TokenPassing,NewYork_Small,normal_wave,1,6,3600,113,37,0.3274,1.0000,1121.8379,280.4595,0.7985,4.6585,225.0606,944.0000,1004.4526,0.8926,24.1701,28,0.3660,6.7183,46,0.9967,37164.7461,0.3621,0.6695,1191.7008,4.7067,327641,2899.4778,483246.3125,0,0
TP,TokenPassing,NewYork_Small,normal_ramp,0,6,3600,110,35,0.3182,1.0000,852.1429,213.0357,0.7992,4.3411,242.6452,727.3571,1266.6437,1.0000,0.0000,24,0.3051,7.5222,27,0.9549,44332.5273,0.2356,0.4985,655.0147,4.3355,258660,2351.4546,391909.0938,0,0
TP,TokenPassing,NewYork_Small,normal_ramp,1,6,3600,106,37,0.3491,1.0000,851.5135,212.8784,0.7969,4.3450,201.8485,709.5000,1200.1808,1.0000,0.0000,28,0.2989,3.3536,20,0.9402,44406.6875,0.2604,0.4677,655.0147,4.3489,263663,2487.3867,414564.4688,0,0
TP,TokenPassing,NewYork_Small,stress_shock,0,6,3600,158,38,0.2405,1.0000,773.2105,257.7368,0.6414,4.2637,208.2812,654.8571,904.2188,0.8683,27.4375,24,0.4257,3.6853,11,1.0367,34360.3164,0.3250,0.5896,543.2000,4.2609,131975,835.2848,139214.1406,0,0
TP,TokenPassing,NewYork_Small,stress_shock,1,6,3600,134,47,0.3507,1.0000,963.3830,321.1277,0.6375,4.2606,135.9444,875.7273,663.1334,0.9756,3.3178,28,0.4294,11.2267,16,1.0622,31167.2676,0.3707,0.6697,543.2000,4.2843,139672,1042.3284,173721.3906,0,0
TP,TokenPassing,NewYork_Small,stress_buildup,0,6,3600,212,30,0.1415,1.0000,774.4000,258.1333,0.5023,4.5102,152.9130,762.4545,1144.6984,1.0000,0.0000,24,0.3415,3.4124,13,0.9910,34340.9492,0.3611,0.6819,935.7400,4.4439,185378,874.4245,145737.4219,0,0
TP,TokenPassing,NewYork_Small,stress_buildup,1,6,3600,204,35,0.1716,1.0000,736.4572,245.4857,0.5009,4.5079,148.4000,578.1852,858.6937,1.0000,0.0000,28,0.3418,4.0218,21,1.0865,30054.2793,0.3879,0.7058,935.7400,4.4863,168891,827.8970,137982.8438,0,0
TP,TokenPassing,NewYork_Small,over_fleet,0,6,3600,41,40,0.9756,1.0000,380.5250,95.1312,0.7102,4.6674,262.7250,117.5610,1139.5536,0.8675,34.8143,28,0.3559,5.6706,31,1.0132,45582.1445,0.2071,0.4359,1191.7008,4.7215,7302,178.0976,29682.9277,0,0
TP,TokenPassing,NewYork_Small,over_fleet,1,6,3600,57,53,0.9298,1.0000,382.2453,76.4491,0.9663,4.6585,268.7547,111.9825,1168.6791,0.8697,35.0189,28,0.3679,5.4548,50,0.9609,61939.9922,0.2577,0.5084,1191.7008,4.6486,13897,243.8070,40634.5039,0,0
HAPC,HybridAdaptivePredictive,Tokyo_Small,normal_wave,0,6,3600,105,19,0.180952,1,1560.84,260.14,0.938056,4.65267,503.842,1450.89,1118.69,0,0,28,0.138805,1,0,0,54910.4,0.168421,0.306892,1125.49,0,839036,7990.72,7.73934e+06,0,0
HAPC,HybridAdaptivePredictive,Tokyo_Small,normal_wave,1,6,3600,120,16,0.133333,1,842.312,140.385,0.895972,4.65193,302.188,1801.62,908.305,0,0,28,0.142702,1,0,0,55656.2,0.09375,0.176777,1125.49,0,750363,6252.93,6.0378e+06,0,0
