seed,source,method,city,scenario,episode,n_agents,total_steps,tasks_appeared,tasks_completed,throughput_rate,accept_rate,latency_mean,latency_per_agent,agent_utilisation,mean_congestion,mean_trip_steps,mean_wait_steps,mean_road_pd_m,delivery_route_efficiency,mean_extra_steps_per_task,peak_load,congestion_variance,mean_bpr_along_route,n_traversals_in_jam,route_congestion_exposure,total_fleet_distance_m,agent_completed_gini,agent_completed_std,n_ghost_active_mean,mean_congestion_at_decision,wallclock_ms,compute_time_per_task_ms,compute_time_per_decision_us,capacity_violations,pairing_violations
44,RL,MAPPO,Tokyo_Small,stress_buildup,1,4,3600,222,175,0.7883,1.0,641.2571,320.6286,0.666,4.4539,329.431,345.6769,961.037,0.5835,137.2236,28,0.365,2.4787,53,0.5637,168181.4844,0.2472,0.4685,883.7547,4.3986,19401,87.3919,14565.3154,0,0
44,RL,MAPPO,Tokyo_Small,stress_shock,0,5,3600,159,127,0.7987,1.0,546.6929,273.3465,0.4042,4.17,285.0709,286.0563,1075.9978,0.7549,69.8713,24,0.485,2.6465,32,0.4771,136651.7188,0.3306,0.591,513.2,4.1207,7851,49.3774,8229.5596,0,0
44,RL,MAPPO,Tokyo_Small,stress_shock,1,5,3600,183,155,0.847,1.0,506.271,506.271,0.3408,4.153,243.9097,266.2294,967.365,0.7932,50.4367,24,0.4898,2.1877,17,0.3326,149941.5781,0.262,0.4834,513.2,4.1611,11111,60.7158,10119.3076,0,0
44,RMCA,RMCA,Kyoto_Small,normal_ramp,0,6,3600,99,61,0.6162,1.0,596.2459,298.123,0.4061,4.3179,239.963,339.9655,1014.6628,0.8457,37.0304,24,0.3052,1.7731,9,0.5345,61894.4297,0.3944,0.737,347.1364,4.3888,29099,293.9293,48988.2148,0,0
44,RMCA,RMCA,Kyoto_Small,normal_ramp,1,6,3600,104,58,0.5577,1.0,636.7931,636.7931,0.3209,4.314,282.7037,335.6667,1157.1288,0.8186,51.278,28,0.3206,1.988,11,0.4499,67113.4688,0.4095,0.7916,347.1364,4.3291,68841,661.9327,110322.1172,0,0
44,RMCA,RMCA,Kyoto_Small,normal_wave,0,6,3600,110,46,0.4182,1.0,945.3261,315.1087,0.5575,4.6455,372.9512,517.1395,1025.1703,0.5498,167.9172,28,0.3742,2.6537,10,0.8335,47157.832,0.3874,0.748,631.4694,4.6835,82971,754.2818,125713.6328,0,0
44,RMCA,RMCA,Kyoto_Small,normal_wave,1,6,3600,118,44,0.3729,1.0,547.6818,547.6818,0.2002,4.6484,245.925,285.8095,966.1424,0.7857,52.6965,24,0.3689,6.1838,8,0.7901,42510.2656,0.3485,0.7741,631.4694,4.6933,90779,769.3135,128218.9297,0,0
44,RMCA,RMCA,Kyoto_Small,over_fleet,0,60,3600,54,42,0.7778,1.0,599.6667,85.6667,0.1329,4.6535,378.375,280.8222,989.7489,0.5232,180.4252,24,0.3646,4.2835,18,0.9284,41569.4531,0.4269,0.8806,631.4694,4.7711,34972,647.6296,107938.2734,0,0
44,RMCA,RMCA,Kyoto_Small,over_fleet,1,60,3600,55,46,0.8364,1.0,479.7174,95.9435,0.0995,4.6508,307.5778,173.5098,995.4678,0.6473,108.4842,28,0.365,3.2939,12,0.7951,45791.5195,0.3168,0.6551,631.4694,4.7423,37553,682.7818,113796.9688,0,0
44,RMCA,RMCA,Kyoto_Small,stress_buildup,0,4,3600,238,122,0.5126,1.0,561.8197,561.8197,0.39,4.4225,279.3636,308.3415,1121.4406,0.8029,55.0755,28,0.4024,1.9197,19,0.5434,136815.75,0.4116,0.8026,495.8625,4.4001,46281,194.458,32409.6641,0,0
