seed,global_episode,city,phase,policy_mode,total_steps,n_agents_max,tasks_appeared,tasks_completed,throughput_rate,accept_rate,refuse_rate,latency_mean,latency_per_agent,agent_utilisation,actor_loss,critic_loss,entropy,adv_std,n_experiences,wallclock_ms
43,116,Tokyo_Large,eval,Random,3600,15,116,2,0.0172,0.5345,0.4655,1995.5000,221.7222,0.6076,0.0000,0.0000,0.0000,0.0000,0,34844
43,117,Tokyo_Large,eval,InsertionGreedy,3600,15,106,8,0.0755,0.6415,0.3585,1626.8750,232.4107,0.5240,0.0000,0.0000,0.0000,0.0000,0,66726
43,118,Tokyo_Large,eval,InsertionGreedy,3600,15,106,12,0.1132,0.6321,0.3679,1775.0834,253.5833,0.5277,0.0000,0.0000,0.0000,0.0000,0,116748
43,119,Tokyo_Large,eval,InsertionGreedy,3600,15,115,7,0.0609,0.5826,0.4174,1997.8572,249.7321,0.5729,0.0000,0.0000,0.0000,0.0000,0,76298
43,120,Tokyo_Small,train,MAPPO,3600,8,161,29,0.1801,0.3292,0.6708,1072.6897,214.5379,0.6829,-0.0002,1.6617,0.5855,1.2880,76,19726
43,121,Tokyo_Medium,train,MAPPO,3600,12,117,18,0.1538,0.4615,0.5385,1575.0000,225.0000,0.6520,-0.0000,15.5280,0.5978,3.4382,72,154961
43,122,Tokyo_Large,train,MAPPO,3600,15,102,12,0.1176,0.7059,0.2941,1270.3334,158.7917,0.5471,-0.0000,41.8235,0.6092,4.6197,103,418016
43,123,Tokyo_Small,train,MAPPO,3600,8,171,32,0.1871,0.3216,0.6784,1537.3750,307.4750,0.7077,-0.0000,3.5973,0.5885,1.8123,86,35379
43,124,Tokyo_Medium,train,MAPPO,3600,12,104,18,0.1731,0.5192,0.4808,1587.7222,226.8175,0.6150,-0.0000,14.3038,0.5985,3.0655,78,75985
43,125,Tokyo_Large,train,MAPPO,3600,15,113,13,0.1150,0.6460,0.3540,1811.0769,181.1077,0.6743,-0.0000,36.7728,0.6095,4.2545,102,524749
43,126,Tokyo_Small,train,MAPPO,3600,8,141,36,0.2553,0.4255,0.5745,1074.9722,214.9944,0.6999,-0.0000,3.5998,0.5873,1.8577,85,26869
43,127,Tokyo_Medium,train,MAPPO,3600,12,123,17,0.1382,0.4309,0.5691,1631.0000,233.0000,0.6094,-0.0000,6.2659,0.5983,2.3210,80,95289
43,128,Tokyo_Large,train,MAPPO,3600,15,118,12,0.1017,0.6102,0.3898,1635.4166,181.7130,0.6148,-0.0000,35.5742,0.6132,4.3253,107,529895
43,129,Tokyo_Small,train,MAPPO,3600,8,164,30,0.1829,0.3232,0.6768,1282.1666,256.4333,0.6545,-0.0000,3.1269,0.5896,1.6884,70,42392
43,130,Tokyo_Medium,train,MAPPO,3600,12,116,22,0.1897,0.4828,0.5172,1626.0454,232.2922,0.6276,-0.0000,8.6239,0.5959,2.3169,71,109825
43,131,Tokyo_Large,train,MAPPO,3600,15,101,8,0.0792,0.6733,0.3267,1743.6250,217.9531,0.5706,-0.0000,43.5055,0.6080,4.2433,88,514840
43,132,Tokyo_Small,train,MAPPO,3600,8,154,32,0.2078,0.3636,0.6364,1269.2812,253.8562,0.6550,-0.0000,2.3304,0.5873,1.5038,74,29081
43,133,Tokyo_Medium,train,MAPPO,3600,12,108,18,0.1667,0.5000,0.5000,1458.7222,208.3889,0.6036,-0.0000,13.7702,0.5971,3.0057,77,140337
43,134,Tokyo_Large,train,MAPPO,3600,15,105,11,0.1048,0.6762,0.3238,1309.0909,187.0130,0.5255,-0.0000,53.0795,0.6086,4.7654,96,509026
43,135,Tokyo_Small,train,MAPPO,3600,8,152,30,0.1974,0.3553,0.6447,1303.7000,260.7400,0.6617,-0.0000,2.2274,0.5868,1.4876,72,29675
